Code,Area,Year,Measure,Value
E09000027,Richmond upon Thames,Year ending Dec 1997,Median,"136,000"
E09000028,Southwark,Year ending Dec 1997,Median,"85,000"
E09000029,Sutton,Year ending Dec 1997,Median,"75,000"
E09000030,Tower Hamlets,Year ending Dec 1997,Median,"95,000"
E09000031,Waltham Forest,Year ending Dec 1997,Median,"62,000"
E09000032,Wandsworth,Year ending Dec 1997,Median,"108,000"
E09000033,Westminster,Year ending Dec 1997,Median,"160,950"
E12000001,North East,Year ending Dec 1997,Median,"46,995"
E12000002,North West,Year ending Dec 1997,Median,"49,000"
E12000003,Yorkshire And The Humber,Year ending Dec 1997,Median,"48,950"
E12000004,East Midlands,Year ending Dec 1997,Median,"50,000"
E12000005,West Midlands,Year ending Dec 1997,Median,"54,500"
E12000006,East of England,Year ending Dec 1997,Median,"63,500"
E12000007,London,Year ending Dec 1997,Median,"86,000"
E12000008,South East,Year ending Dec 1997,Median,"74,500"
E12000009,South West,Year ending Dec 1997,Median,"60,000"
E92000001,England,Year ending Dec 1997,Median,"60,000"
W92000004,Wales,Year ending Dec 1997,Median,"47,950"
K04000001,England And Wales,Year ending Dec 1997,Median,"60,000"
E09000001,City of London,Year ending Mar 1998,Median,"147,000"
E09000002,Barking and Dagenham,Year ending Mar 1998,Median,"54,995"
E09000003,Barnet,Year ending Mar 1998,Median,"104,500"
E09000004,Bexley,Year ending Mar 1998,Median,"73,000"
E09000005,Brent,Year ending Mar 1998,Median,"85,950"
E09000006,Bromley,Year ending Mar 1998,Median,"89,000"
E09000007,Camden,Year ending Mar 1998,Median,"147,500"
E09000008,Croydon,Year ending Mar 1998,Median,"73,500"
E09000009,Ealing,Year ending Mar 1998,Median,"94,000"
E09000010,Enfield,Year ending Mar 1998,Median,"80,000"
E09000011,Greenwich,Year ending Mar 1998,Median,"68,000"
E09000012,Hackney,Year ending Mar 1998,Median,"79,950"
E09000013,Hammersmith and Fulham,Year ending Mar 1998,Median,"144,800"
E09000014,Haringey,Year ending Mar 1998,Median,"84,000"
E09000015,Harrow,Year ending Mar 1998,Median,"97,175"
E09000016,Havering,Year ending Mar 1998,Median,"75,500"
E09000017,Hillingdon,Year ending Mar 1998,Median,"81,000"
E09000018,Hounslow,Year ending Mar 1998,Median,"84,000"
E09000019,Islington,Year ending Mar 1998,Median,"123,500"
E09000020,Kensington and Chelsea,Year ending Mar 1998,Median,"230,000"
E09000021,Kingston upon Thames,Year ending Mar 1998,Median,"95,498"
E09000022,Lambeth,Year ending Mar 1998,Median,"87,500"
E09000023,Lewisham,Year ending Mar 1998,Median,"65,950"
E09000024,Merton,Year ending Mar 1998,Median,"87,975"
E09000025,Newham,Year ending Mar 1998,Median,"58,000"
E09000026,Redbridge,Year ending Mar 1998,Median,"79,000"
E09000027,Richmond upon Thames,Year ending Mar 1998,Median,"142,000"
E09000028,Southwark,Year ending Mar 1998,Median,"87,000"
E09000029,Sutton,Year ending Mar 1998,Median,"77,950"
E09000030,Tower Hamlets,Year ending Mar 1998,Median,"97,000"
E09000031,Waltham Forest,Year ending Mar 1998,Median,"65,000"
E09000032,Wandsworth,Year ending Mar 1998,Median,"112,000"
E09000033,Westminster,Year ending Mar 1998,Median,"166,000"
E12000001,North East,Year ending Mar 1998,Median,"47,000"
E12000002,North West,Year ending Mar 1998,Median,"49,250"
E12000003,Yorkshire And The Humber,Year ending Mar 1998,Median,"49,000"
E12000004,East Midlands,Year ending Mar 1998,Median,"51,000"
E12000005,West Midlands,Year ending Mar 1998,Median,"55,000"
E12000006,East of England,Year ending Mar 1998,Median,"64,950"
E12000007,London,Year ending Mar 1998,Median,"88,000"
E12000008,South East,Year ending Mar 1998,Median,"76,000"
E12000009,South West,Year ending Mar 1998,Median,"62,000"
E92000001,England,Year ending Mar 1998,Median,"62,500"
W92000004,Wales,Year ending Mar 1998,Median,"48,000"
K04000001,England And Wales,Year ending Mar 1998,Median,"60,000"
E09000001,City of London,Year ending Jun 1998,Median,"155,000"
E09000002,Barking and Dagenham,Year ending Jun 1998,Median,"56,500"
